,AnoMes,quantidadePix,valorPix,quantidadeTED,valorTED,quantidadeTEC,valorTEC,quantidadeCheque,valorCheque,quantidadeBoleto,valorBoleto,quantidadeDOC,valorDOC
0,202607,7975215.7,3801018.76,68602.77,4058803.01,0.0,0.0,6607.51,30011.4,341104.26,577982.13,0.0,0.0
1,202606,7699815.65,3599270.78,64041.78,4235160.17,0.0,0.0,6693.47,30773.59,340587.57,577082.91,0.0,0.0
2,202605,7854699.48,3478034.84,65540.9,3828232.89,0.0,0.0,6299.28,28997.49,321873.66,541107.26,0.0,0.0
3,202604,7370602.06,3421732.27,65272.11,4064285.57,0.0,0.0,6667.11,32464.83,326984.42,552159.56,0.0,0.0
4,202603,7442903.15,3533664.12,69211.12,4196796.01,0.0,0.0,7367.69,32865.28,346881.81,572564.03,0.0,0.0
5,202602,6606114.79,2996838.9,63710.34,3342672.09,0.0,0.0,6264.06,26618.21,307053.39,487957.93,0.0,0.0
6,202601,7021997.69,3170990.34,59302.67,3819653.6,0.0,0.0,7053.84,30801.1,315999.89,511645.82,0.0,0.0
